FID,CITY_NAME,CNTRY_NAME,FIPS_CNTRY,geometry,POP_updated,POP_rank_updated,capital,distance_sea,city_type,pop_diff,all_coast,all_inland,single_city_cntry,first_batch,UN
2506,Mount Hagen,Papua New Guinea,PP,POINT (16054496.55027103 -654032.3466568865),29765.0,7,0,175.41998517758935,inland,334360.0,0,0,0,1,1
1140,Koror,Palau,PS,POINT (14971545.3672125 819398.3318325246),9564.0,7,1,0.1938421463666516,coast,,1,0,1,0,1
1720,Bissau,Guinea-Bissau,PU,POINT (-1736361.274729583 1330234.401378702),387909.0,4,1,2.177619436553088,coast,,0,0,0,1,1
1725,Gabu,Guinea-Bissau,PU,POINT (-1584522.036073735 1377590.444512969),43556.0,7,0,124.87743765440185,inland,344353.0,0,0,0,1,1
2255,Doha,Qatar,QA,POINT (5736553.337672822 2910712.086824142),872048.0,3,1,0.9179817245791376,coast,,1,0,1,0,1
608,Belgrade,Serbia,RB,POINT (2272315.611200109 5590039.830074892),1197714.0,2,1,400.1224619868323,inland,,0,1,1,0,1
1452,Majuro,Marshall Is.,RM,POINT (19076560.58377433 794752.5600166533),23156.0,7,1,0.0,coast,,1,0,1,0,1
708,Bucharest,Romania,RO,POINT (2907995.543394809 5532303.437666734),1716961.0,2,1,518.7954359894409,inland,,0,1,0,0,1
1408,Manila,Philippines,RP,POINT (13465979.10000831 1645065.640955524),1846513.0,2,1,1.0116474762914869,coast,,1,0,0,0,1
2171,Moscow,Russia,RS,POINT (4196744.951997343 7508807.065432232),13010112.0,1,1,1200.58049842251,inland,,0,0,0,1,1
2144,Saint Petersburg,Russia,RS,POINT (3367414.521367191 8381207.167080251),5601911.0,1,0,0.0,coast,7408201.0,0,0,0,1,1
2420,Kigali,Rwanda,RW,POINT (3346152.729100915 -217115.2676385635),859332.0,3,1,1060.314680295296,inland,,0,1,0,0,1
2241,Riyadh,Saudi Arabia,SA,POINT (5206412.953652497 2832815.974877277),6924566.0,1,1,395.5894053016646,inland,,0,0,0,1,1
861,Jeddah,Saudi Arabia,SA,POINT (4360718.893721173 2456744.9362863),3712917.0,2,0,2.208238626241544,coast,3211649.0,0,0,0,1,1
1555,Basseterre,St. Kitts & Nevis,SC,POINT (-6983294.027191045 1954958.330734834),11400.0,7,1,0.1622741235630406,coast,,1,0,1,0,1
2492,Victoria,Seychelles,SE,POINT (6172109.657480269 -514519.2172540111),29664.0,7,1,1.3666885191474445,coast,,1,0,1,0,1
2482,Pretoria,South Africa,SF,POINT (3141213.095469739 -2965802.098754277),1763336.0,2,1,484.3406969578114,inland,,0,0,0,1,1
2462,Port Elizabeth,South Africa,SF,POINT (2836899.442884398 -4012910.976548554),876436.0,3,0,15.219080179077302,coast,886900.0,0,0,0,1,1
1704,Dakar,Senegal,SG,POINT (-1942747.608469979 1653154.323213587),3186088.0,2,1,1.3252012906750048,coast,,0,0,0,1,1
1703,Thies,Senegal,SG,POINT (-1883970.573966629 1666737.281198368),391253.0,4,0,25.71525900638097,inland,2794835.0,0,0,0,1,1
983,Ljubljana,Slovenia,SI,POINT (1629673.638518321 5791301.093993144),284293.0,4,1,116.52076123406044,inland,,0,1,1,0,1
1694,Freetown,Sierra Leone,SL,POINT (-1473758.705498752 948130.0641871315),609174.0,3,1,0.2651888765126377,coast,,0,0,0,1,1
1776,Kenema,Sierra Leone,SL,POINT (-1245108.686289983 879638.7355806784),255110.0,4,0,107.81553467526126,inland,354064.0,0,0,0,1,1
596,San Marino,San Marino,SM,POINT (1387782.849136551 5452554.330669458),33908.0,7,1,24.96160831501665,inland,,0,1,1,0,1
1300,Singapore,Singapore,SN,POINT (11558502.47305111 141259.9491541529),4660.0,7,1,0.1528723075656239,coast,,1,0,1,0,1
2225,Mogadishu,Somalia,SO,POINT (5047686.834460732 227270.4200440208),1650227.0,2,1,0.7264976993123773,coast,,0,0,0,1,1
879,Hargeysa,Somalia,SO,POINT (4904737.249559375 1069299.505418305),741000.0,3,0,100.62872214141848,inland,909227.0,0,0,0,1,1
1658,Madrid,Spain,SP,POINT (-410877.0899810109 4930414.13332514),3340176.0,2,1,397.9812178738285,inland,,0,0,0,1,1
1921,Barcelona,Spain,SP,POINT (240338.9383465654 5065290.417331614),1655956.0,2,0,1.2262960530930902,coast,1684220.0,0,0,0,1,1
1562,Castries,St. Lucia,ST,POINT (-6788596.576425907 1574217.01162277),446.0,7,1,1.739331785868051,coast,,1,0,0,0,1
852,Khartoum,Sudan,SU,POINT (3621222.639448363 1752668.526973266),1410858.0,2,1,667.0150482833568,inland,,0,0,0,1,1
857,Port Sudan,Sudan,SU,POINT (4143276.862751051 2227561.291055989),394561.0,4,0,0.8583571689978889,coast,1016297.0,0,0,0,1,1
964,Stockholm,Sweden,SW,POINT (2002799.100166599 8252311.895080171),988943.0,3,1,9.401216236395229,coast,,0,0,0,1,1
961,Uppsala,Sweden,SW,POINT (1964455.311575647 8367303.213646865),245329.0,5,0,103.99823668589326,inland,743614.0,0,0,0,1,1
817,Damascus,Syria,SY,POINT (4040897.219455298 3961859.956831604),1414913.0,2,1,97.33237945889068,inland,,0,0,0,1,1
746,Al Ladhiqiyah,Syria,SY,POINT (3984347.36957376 4234910.580696249),383786.0,4,0,2.0564064994773394,coast,1031127.0,0,0,0,1,1
1990,Bern,Switzerland,SZ,POINT (828884.6282783723 5933589.822055236),284176.0,4,1,427.0672174242801,inland,,0,1,0,0,1
1542,Port of Spain,Trinidad & Tobago,TD,POINT (-6845042.233982986 1191276.570950145),37074.0,7,1,0.7403436574536818,coast,,1,0,1,0,1
1210,Bangkok,Thailand,TH,POINT (11189464.68113952 1545550.421204106),5666264.0,1,1,27.008842620550567,coast,,0,0,0,1,1
1209,Nonthaburi,Thailand,TH,POINT (11189819.33294834 1556788.209697707),254375.0,4,0,37.84611441591126,inland,5411889.0,0,0,0,1,1
1058,Dushanbe,Tajikistan,TI,POINT (7669913.393874317 4668809.681661858),1201800.0,2,1,1742.9177594027644,inland,,0,1,0,0,1
21,Nuku' alofa,Tonga,TN,POINT (-19508256.59405851 -2407494.121570886),21185.0,7,1,2.241620563489154,coast,,1,0,1,0,1
1882,Lome,Togo,TO,POINT (133755.4221346927 680652.9742512496),1477658.0,2,1,0.0,coast,,0,0,0,1,1
1877,Kpalime,Togo,TO,POINT (70464.94045553335 770192.2370320766),75084.0,6,0,102.44014511976138,inland,1402574.0,0,0,0,1,1
1862,Sao Tome,Sao Tome & Principe,TP,POINT (748958.0256319277 37514.43820742369),66888.0,6,1,0.4075082720941834,coast,,1,0,0,0,1
572,Tunis,Tunisia,TS,POINT (1131674.431275223 4413907.666527156),599368.0,3,1,13.40467690917068,coast,,0,0,0,1,1
577,Kasserine,Tunisia,TS,POINT (970338.419622023 4193369.353613288),601915.0,3,0,198.30314530591124,inland,2547.0,0,0,0,1,1
1487,Dili,Timor Leste,TT,POINT (13979612.57185972 -957697.5731361954),267623.0,4,1,2.060564537607357,coast,,1,0,1,0,1
649,Ankara,Turkey,TU,POINT (3657178.939031498 4855630.683670079),5186002.0,1,1,474.4244843043776,inland,,0,0,0,1,1
683,Izmir,Turkey,TU,POINT (3021767.501025123 4640775.634204186),2948160.0,2,0,0.6873456946370488,coast,2237842.0,0,0,0,1,1
2523,Funafuti,Tuvalu,TV,POINT (19950889.24032939 -953814.1826859901),6320.0,7,1,0.0,coast,,1,0,1,0,1
2276,Ashgabat,Turkmenistan,TX,POINT (6499960.367216557 4572423.756247134),1030063.0,2,1,1395.7242924560744,inland,,0,1,0,0,1
2438,Dar es Salaam,Tanzania,TZ,POINT (4369662.63316601 -760701.6688919978),5383728.0,1,1,3.67161584920912,coast,,0,0,0,1,1
2436,Dodoma,Tanzania,TZ,POINT (3978336.120890551 -688732.3344121146),765179.0,3,0,338.80770196235846,inland,4618549.0,0,0,0,1,1
842,Kampala,Uganda,UG,POINT (3626232.013351002 35956.50131650084),1680600.0,2,1,913.8316914738068,inland,,0,1,0,0,1
1611,London,United Kingdom,UK,POINT (-19815.05599452416 6708057.575925176),8776535.0,1,1,100.22592502916,inland,,0,0,0,1,1
1620,Liverpool,United Kingdom,UK,POINT (-330730.0549875523 7061628.195163474),506552.0,3,0,8.587963327353608,coast,8269983.0,0,0,0,1,1
2124,Kyiv,Ukraine,UP,POINT (3395479.062920127 6524253.906255317),2952301.0,2,1,1321.0091429240997,inland,,0,1,0,0,1
1513,Washington D.C.,United States,US,POINT (-8566461.580787636 4706057.115239593),678972.0,3,1,0.9180260464909736,coast,,0,0,0,1,1
227,El Paso,United States,US,POINT (-11849959.98050611 3734466.590170178),678958.0,3,0,677.2584178737941,inland,14.0,0,0,0,1,1
1752,Ouagadougou,Burkina Faso,UV,POINT (-185903.9582169811 1400385.179058312),2415266.0,2,1,782.6751751429573,inland,,0,1,0,0,1
157,Montevideo,Uruguay,UY,POINT (-6252815.64070706 -4153014.777927632),1304687.0,2,1,0.1884165364576388,coast,,0,0,0,1,1
138,Salto,Uruguay,UY,POINT (-6452411.27285885 -3684284.264443307),104011.0,5,0,335.31788936400363,inland,1200676.0,0,0,0,1,1
1078,Tashkent,Uzbekistan,UZ,POINT (7719992.13775377 5048981.239993461),2956384.0,2,1,2126.201427720299,inland,,0,1,0,0,1
1563,Kingstown,St. Vincent & the Grenadines,VC,POINT (-6816015.902956806 1477487.713341586),12909.0,7,1,0.0818113123745774,coast,,1,0,1,0,1
1532,Caracas,Venezuela,VE,POINT (-7447082.193129026 1175004.612708875),2087700.0,2,1,12.061739006991331,coast,,0,0,0,1,1
469,Valencia,Venezuela,VE,POINT (-7570059.402622537 1139016.186023088),1585500.0,2,0,32.426992932548565,inland,502200.0,0,0,0,1,1
1267,Hanoi,Vietnam,VM,POINT (11779828.78135085 2395456.492793864),3605364.0,2,1,101.33036055641011,inland,,0,0,0,1,1
1277,Da Nang,Vietnam,VM,POINT (12046438.84970379 1810745.912429966),988561.0,3,0,2.890387276634457,coast,2616803.0,0,0,0,1,1
2333,Windhoek,Namibia,WA,POINT (1901002.535982288 -2578894.465439092),486186.0,4,1,283.5929461639685,inland,,0,0,0,1,1
2329,Swakopmund,Namibia,WA,POINT (1617249.385422751 -2592641.405385304),75921.0,6,0,0.57677690769956,coast,410265.0,0,0,0,1,1
17,Apia,Samoa,WS,POINT (-19117952.97555974 -1555525.219873155),35974.0,7,1,0.0,coast,,1,0,1,0,1
2458,Mbabane,Eswatini,WZ,POINT (3472199.669953191 -3036704.873815354),60691.0,6,1,157.16325398376543,inland,,0,1,0,0,1
865,Sanaa,Yemen,YM,POINT (4921379.394375705 1730890.67994842),1707531.0,2,1,149.61637452401436,inland,,0,0,0,1,1
2214,Aden,Yemen,YM,POINT (5013996.773199519 1433039.157505845),588938.0,3,0,0.1294414614251098,coast,1118593.0,0,0,0,1,1
2382,Lusaka,Zambia,ZA,POINT (3135870.088754392 -1738805.992643869),2212301.0,2,1,897.5004782858199,inland,,0,1,0,0,1
2312,Harare,Zimbabwe,ZI,POINT (3453130.9824289 -2017659.784816404),1491754.0,2,1,479.3998325051742,inland,,0,1,0,0,1
