FID,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,geometry,CITY_NAME,POP_updated,POP_updated_year,capital,index__water,Name1__waterbody,Name2__waterbody,Name3__waterbody,TYPE__waterbody,ISO_CC__waterbody,SHAPE_Length__waterbody,SHAPE_Area__waterbody,distance_water,index__sea,Name1__sea,Name2__sea,Name3__sea,TYPE__sea,ISO_CC__sea,SHAPE_Length__sea,SHAPE_Area__sea,distance_sea,POP_rank_updated,city_type
11,PER-CUS,Cusco,PE,Peru,Provincial capital,428450,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-8013556.592330236 -1519891.27676438),Cuzco,492400,2022,0,2220440,Laguna Qoricocha,,,Inland perennial,PE,0.04137253836006796,9.342166551090527e-05,11.11356057220066,2489706,Pacific Ocean,,,Ocean or Sea,,0.43371882911326076,0.006883638145336704,356.03978286320745,4,inland
12,PER-APR,Apurimac,PE,Peru,Provincial capital,0,0, , ,POINT (-8113409.498071329 -1533176.06073912),Abancay,64873,2017,0,1338752,,,,Inland perennial,PE,0.014911919271124572,1.1211621545072287e-05,11.541893471827096,2782048,Pacific Ocean,,,Ocean or Sea,,0.4532192943323774,0.009963970783295261,296.1903737118576,6,inland
13,PER-PUN,Puno,PE,Peru,Provincial capital,128637,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-7796149.617582432 -1786780.295832233),Puno,128195,2017,0,1338160,,,,Inland perennial,PE,0.14566128235334241,0.0009285756242922731,2.1934889282173637,2782586,Pacific Ocean,,,Ocean or Sea,,1.0081777085972823,0.04137066153469393,232.6774555929019,5,inland
14,PER-ARQ,Arequipa,PE,Peru,Provincial capital,1080635,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-7961903.892228147 -1850859.740048405),Arequipa,1125400,2022,0,1338134,,,,Inland perennial,PE,0.06886989003126062,0.0001386321022777777,26.24612409336786,2782458,Pacific Ocean,,,Ocean or Sea,,0.9606288211747342,0.0364653475856981,91.18098129545602,2,inland
15,BOL-LPA,La Paz,BL,Bolivia,National and provincial capital,2143000,2,"1,000,000 to 4,999,999",UN_Habitat_2020,POINT (-7586005.249440206 -1862583.583793999),La Paz,3022566,2024,1,48161,,,,Inland perennial,BO,0.03230488560270466,3.208470372615344e-05,14.085217277779451,2782463,Pacific Ocean,,,Ocean or Sea,,0.9691568644007831,0.05143811047407229,329.25625933090095,2,inland
16,WLF,Wallis & Futuna,WF,Wallis & Futuna,National and provincial capital,0,0, , ,POINT (-19609102.36643896 -1490973.371204516),Mata-Utu,508200,2019,1,2664620,Pacific Ocean,,,Ocean or Sea,,1.6521763007368546,0.05517357927585911,0.018889206056043446,2664620,Pacific Ocean,,,Ocean or Sea,,1.6521763007368546,0.05517357927585911,0.018889206056043446,3,coast
17,WSM,Samoa,WS,Samoa,National capital,37391,7,"Less than 50,000",UN_Data_2010_2020,POINT (-19117952.97555974 -1555525.219873155),Apia,16585,2023,1,2710004,Pacific Ocean,,,Ocean or Sea,,1.1466089581074594,0.04509787204953084,0.0,2710004,Pacific Ocean,,,Ocean or Sea,,1.1466089581074594,0.04509787204953084,0.0,7,coast
18,ASM,American Samoa,AQ,American Samoa,National and provincial capital,3656,7,"Less than 50,000",UN_Data_2010_2020,POINT (-19001998.92927833 -1605024.613052656),Pago Pago,3000,2020,1,2486339,Pacific Ocean,,,Ocean or Sea,,2.595804784733006,0.05028048198499604,0.302532705861886,2486339,Pacific Ocean,,,Ocean or Sea,,2.595804784733006,0.05028048198499604,0.302532705861886,7,coast
19,PYF,French Polynesia,FP,French Polynesia,National and provincial capital,25763,7,"Less than 50,000",UN_Data_2010_2020,POINT (-16650057.31771281 -1983191.794427712),Papeete,26654,2022,1,2664514,Pacific Ocean,,,Ocean or Sea,,1.1823097752150455,0.049962522994155704,0.05212244152936161,2664514,Pacific Ocean,,,Ocean or Sea,,1.1823097752150455,0.049962522994155704,0.05212244152936161,7,coast
20,NIU,Niue,NE,Niue,National and provincial capital,639,7,"Less than 50,000",UN_Data_2010_2020,POINT (-18915037.13414326 -2156898.275754335),Alofi,610,2022,1,2800482,Pacific Ocean,,,Ocean or Sea,,1.1811828968512488,0.04331629314669353,0.8269345428863992,2800482,Pacific Ocean,,,Ocean or Sea,,1.1811828968512488,0.04331629314669353,0.8269345428863992,7,coast
21,TON,Tonga,TN,Tonga,National capital,35184,7,"Less than 50,000",UN_Data_2010_2020,POINT (-19508256.59405851 -2407494.121570886),Nuku' alofa,1633595,2021,1,2268100,Pacific Ocean,,,Ocean or Sea,,1.131148591931273,0.010751617877532938,2.241620563489154,2268100,Pacific Ocean,,,Ocean or Sea,,1.131148591931273,0.010751617877532938,2.241620563489154,2,coast
22,COK,Cook Is.,CW,Cook Is.,National and provincial capital,0,0, , ,POINT (-17785147.08785183 -2419719.439128366),Avarua,5113,2021,1,2796329,Pacific Ocean,,,Ocean or Sea,,1.3515540567209692,0.05577190998224256,3.432581829673657,2796329,Pacific Ocean,,,Ocean or Sea,,1.3515540567209692,0.05577190998224256,3.432581829673657,7,coast
23,PCN,Pitcairn Is.,PC,Pitcairn Is.,National and provincial capital,49,7,"Less than 50,000",UN_Data_2010_2020,POINT (-14482999.77262067 -2883853.300140359),Adamstown,50,2020,1,2482149,Pacific Ocean,,,Ocean or Sea,,1.148576207029003,0.061411109798262094,0.3284942283460918,2482149,Pacific Ocean,,,Ocean or Sea,,1.148576207029003,0.061411109798262094,0.3284942283460918,7,coast
24,CHL-ADG,Aisen del General Carlos Ibanez del Campo,CI,Chile,Provincial capital,0,0, , ,POINT (-8093149.580585578 -5685032.208213178),Puerto Aisen,25180,2023,0,2254534,,,,Inland perennial,CL,0.2004557493106415,0.00024187370769677163,1.3846314839924831,2395850,Pacific Ocean,,,Ocean or Sea,,1.5423191047435207,0.016886227962277126,8.043094299912092,7,inland
25,ARG-CHB,Chubut,AR,Argentina,Other,236437,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-7514065.589007219 -5753148.00002516),Comodoro Rivadavia,175196,2010,0,2469812,Golfo de San Jorge,Atlantic Ocean,,Ocean or Sea,,1.1053476437969094,0.046126891724163364,4.101938634691619,2469812,Golfo de San Jorge,Atlantic Ocean,,Ocean or Sea,,1.1053476437969094,0.046126891724163364,4.101938634691619,5,coast
26,ARG-SCR,Santa Cruz,AR,Argentina,Provincial capital,122334,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-7706536.868336164 -6732602.42679397),Rio Gallegos,95796,2010,0,2324350,Atlantic Ocean,,,Ocean or Sea,,0.9853688935113593,0.014823345166215446,2.6740148571559157,2324350,Atlantic Ocean,,,Ocean or Sea,,0.9853688935113593,0.014823345166215446,2.6740148571559157,6,coast
27,FLK,Falkland Islands,FK,Falkland Is.,National and provincial capital,2108,7,"Less than 50,000",UN_Data_2010_2020,POINT (-6439721.509867124 -6746242.657097236),Stanley,2634,2016,1,2779437,Atlantic Ocean,,,Ocean or Sea,,0.31886483265524956,0.0008252453538722774,1.5182603300679713,2779437,Atlantic Ocean,,,Ocean or Sea,,0.31886483265524956,0.0008252453538722774,1.5182603300679713,7,coast
28,CHL-MYA,Magallanes y de la Antartica Chilena,CI,Chile,Other,141984,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-7896409.308137709 -7013793.857277858),Punta Arenas,144938,2023,0,2317473,Pacific Ocean,,,Ocean or Sea,,0.9173539189488209,0.042829081350877714,2.1163723090615547,2317473,Pacific Ocean,,,Ocean or Sea,,0.9173539189488209,0.042829081350877714,2.1163723090615547,5,coast
29,ARG-TDF,Tierra del Fuego,AR,Argentina,Provincial capital,164883,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-7602898.866926516 -7321601.752966858),Ushuaia,80371,2022,0,2696422,Bahia Ushuaia,Pacific Ocean,,Ocean or Sea,,0.37706572096685886,0.003866898853063564,2.5471867546792715,2696422,Bahia Ushuaia,Pacific Ocean,,Ocean or Sea,,0.37706572096685886,0.003866898853063564,2.5471867546792715,6,coast
30,CHL-LGB,Libertador General Bernardo O'Higgins,CI,Chile,Provincial capital,0,0, , ,POINT (-7902013.790428272 -4108031.851014215),San Fernando,80547,2023,0,1198261,,,,Inland perennial,CL,0.021454764804756565,2.6039268702990077e-05,20.827710228597724,2783388,Pacific Ocean,,,Ocean or Sea,,0.5538347123882769,0.012319812587812324,114.80949255176382,6,inland
31,CHL-MAU,Maule,CI,Chile,Provincial capital,236724,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-7977154.454232796 -4221514.916028643),Talca,241064,2023,0,1198243,,,,Inland perennial,CL,0.017240693104080322,1.2727401054302522e-05,18.309088856353135,2783389,Pacific Ocean,,,Ocean or Sea,,0.7743423012713733,0.03836199871942907,74.16123655361449,5,inland
32,CHL-BIO,Bio-Bio,CI,Chile,Provincial capital,238092,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-8132445.137322976 -4414881.373713631),Concepcion,239443,2023,0,2259151,Rio Biobio,,,Inland perennial,CL,2.815985426498184,0.01246845664138655,1.5526919863522135,2709447,Pacific Ocean,,,Ocean or Sea,,1.2303069361728158,0.054877856713604546,10.983214650447612,5,inland
33,CHL-ARC,Araucania,CI,Chile,Provincial capital,302931,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-8079123.315236582 -4682926.869012764),Temuco,308175,2023,0,1198152,,,,Inland perennial,CL,0.019454350794397324,1.056390384787192e-05,31.79928300726615,2783335,Pacific Ocean,,,Ocean or Sea,,0.6297741498808681,0.02290958106827969,90.47289039744382,4,inland
34,ARG-NEU,Neuquen,AR,Argentina,Provincial capital,307682,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-7601265.814350116 -4713783.186171061),Neuquen,710814,2022,0,2239659,Rio Limay,,,Inland perennial,AR,0.9662252789742038,0.0006155146758040696,4.711549655292629,2384349,Golfo San Matias,Atlantic Ocean,,Ocean or Sea,,0.5650090166249845,0.013580124430601479,447.03740879334777,3,inland
35,CHL-LLA,Los Lagos,CI,Chile,Provincial capital,269398,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-8120979.670986906 -5082658.087039682),Puerto Montt,278255,2023,0,2392395,Pacific Ocean,,,Ocean or Sea,,0.10041996767584178,0.00033106634695980586,0.4937699112907458,2392395,Pacific Ocean,,,Ocean or Sea,,0.10041996767584178,0.00033106634695980586,0.4937699112907458,4,coast
36,CHL-ANT,Antofagasta,CI,Chile,Provincial capital,425725,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-7836780.681913052 -2709723.265602158),Antofagasta,441211,2023,0,2782822,Pacific Ocean,,,Ocean or Sea,,0.8971422646695537,0.04489581852482812,0.05699912265994177,2782822,Pacific Ocean,,,Ocean or Sea,,0.8971422646695537,0.04489581852482812,0.05699912265994177,4,coast
37,CHL-ATC,Atacama,CI,Chile,Provincial capital,171766,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-7829322.714699095 -3168521.445888319),Copiapo,175240,2023,0,2782678,Pacific Ocean,,,Ocean or Sea,,0.6776270910529927,0.01959448946659268,63.77949676246926,2782678,Pacific Ocean,,,Ocean or Sea,,0.6776270910529927,0.01959448946659268,63.77949676246926,5,inland
38,CHL-CQM,Coquimbo,CI,Chile,Provincial capital,249656,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-7930956.966547694 -3490830.269023704),La Serena,263144,2023,0,2601008,Pacific Ocean,,,Ocean or Sea,,0.44519991129060477,0.006290842223548097,3.1728645767873402,2601008,Pacific Ocean,,,Ocean or Sea,,0.44519991129060477,0.006290842223548097,3.1728645767873402,4,coast
39,ARG-SJU,San Juan,AR,Argentina,Provincial capital,535947,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-7628390.598611593 -3702295.390832324),San Juan,822853,2022,0,36091,,,,Inland perennial,AR,0.28103111263307945,0.0016688254554212676,15.777692106530896,2782953,Pacific Ocean,,,Ocean or Sea,,0.8097422218257257,0.032236672091964826,333.0097368993774,3,inland
40,ARG-MND,Mendoza,AR,Argentina,Provincial capital,1025407,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-7662120.726758549 -3881640.146013631),Mendoza,2043540,2022,0,35543,,,,Inland perennial,AR,0.10645462799611691,0.00028066833974976795,14.349436347149025,2782939,Pacific Ocean,,,Ocean or Sea,,0.934409385941474,0.047182430070162096,291.680298423906,2,inland
41,CHL-VLP,Valparaiso,CI,Chile,Provincial capital,315732,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-7965466.566021609 -3898091.685111697),Valparaiso,319745,2023,0,2696435,Pacific Ocean,,,Ocean or Sea,,0.8401228155099161,0.02960520151049659,0.7724276273648459,2696435,Pacific Ocean,,,Ocean or Sea,,0.8401228155099161,0.02960520151049659,0.7724276273648459,4,coast
42,CHL-RMT,Region Metropolitana,CI,Chile,National and provincial capital,6748000,1,"5,000,000 and greater",UN_Habitat_2020,POINT (-7864445.457264903 -3958526.403416735),Santiago,536089,2023,1,1198286,,,,Inland perennial,CL,0.01891019965093759,1.658658086496185e-05,38.30748456478063,2709414,Pacific Ocean,,,Ocean or Sea,,0.5714833267007534,0.011878993961267388,106.84763829130587,3,inland
43,CHL-CQM,Coquimbo,CI,Chile,Other,256735,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-7940642.099961882 -3498281.021630735),Coquimbo,271095,2023,0,2601008,Pacific Ocean,,,Ocean or Sea,,0.44519991129060477,0.006290842223548097,0.0,2601008,Pacific Ocean,,,Ocean or Sea,,0.44519991129060477,0.006290842223548097,0.0,4,coast
44,ECU-MAN,Manabi,EC,Ecuador,Provincial capital,223086,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-8956209.144598614 -117559.7003313403),Portoviejo,252248,2022,0,1231672,,,,Inland perennial,EC,0.014631198564752125,1.562860284860814e-05,3.2840403618924645,2696411,Pacific Ocean,,,Ocean or Sea,,0.8814541134844703,0.020365559015723272,20.24588227906734,4,inland
45,ECU-BLV,Bolivar,EC,Ecuador,Provincial capital,0,0, , ,POINT (-8794573.580012582 -178802.0688918603),Guaranda,62611,2022,0,1231640,,,,Inland perennial,EC,0.023165373244116518,1.8245548186699758e-05,30.039451848434407,2520309,Pacific Ocean,,,Ocean or Sea,,0.4184545537343859,0.0022668297104160872,144.73829318787438,6,inland
46,ECU-LRI,Los Rios,EC,Ecuador,Provincial capital,0,0, , ,POINT (-8853239.403578375 -199850.7370249933),Babahoyo,112033,2022,0,1231635,,,,Inland perennial,EC,0.021729645364441226,2.1522968475359037e-05,1.4755711609588704,2520999,Pacific Ocean,,,Ocean or Sea,,2.072300236357599,0.018849719979763584,90.65359270423592,5,inland
47,ECU-GUA,Guayas,EC,Ecuador,Provincial capital,2291158,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-8895304.143977638 -245307.5303234768),Guayaquil,2650288,2022,0,1231592,,,,Inland perennial,EC,0.7356089797469847,0.0009020981188471828,1.890905116531727,2520999,Pacific Ocean,,,Ocean or Sea,,2.072300236357599,0.018849719979763584,31.09308820743223,2,inland
48,ECU-CAN,Canar,EC,Ecuador,Provincial capital,0,0, , ,POINT (-8776873.448354136 -306246.6536324628),Azogues,41249,2022,0,1231167,,,,Inland perennial,EC,0.02539752856558068,3.387663622119589e-05,16.742430469170113,2520309,Pacific Ocean,,,Ocean or Sea,,0.4184545537343859,0.0022668297104160872,103.58198284885603,7,inland
49,COL-AMZ,Amazonas,CO,Colombia,Provincial capital,0,0, , ,POINT (-7786798.116980921 -462380.2404989636),Leticia,39000,2023,0,2197945,Amazon River,,,Inland perennial,BR,118.70259508660861,0.7684734776255764,3.0009029881533764,2677398,Pacific Ocean,,,Ocean or Sea,,0.9977893516974272,0.046814815852622295,1100.3875468194449,7,inland
50,BRA-ACR,Acre,BR,Brazil,Provincial capital,308545,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-7548797.610356263 -1116516.50088822),Rio Branco,364756,2022,0,60774,,,,Inland perennial,BR,0.04050431755548588,3.052834630718278e-05,13.535619818833238,2782184,Pacific Ocean,,,Ocean or Sea,,0.5736786971235356,0.012755280360224379,926.9134795707673,4,inland
51,BOL-PAN,Pando,BL,Bolivia,Provincial capital,0,0, , ,POINT (-7658507.964752544 -1235792.272471544),Cobija,54386,2024,0,60400,,,,Inland perennial,BR,0.013797107181813479,9.43350928448693e-06,77.3729452739656,2782193,Pacific Ocean,,,Ocean or Sea,,1.0462255981507862,0.06126125354160257,767.1537729681861,6,inland
52,ECU-GLP,Galapagos,EC,Ecuador,Provincial capital,0,0, , ,POINT (-9974894.037700117 -100191.6607614566),Baquerizo Moreno,239,2022,0,2523076,Pacific Ocean,,,Ocean or Sea,,1.2427601666678258,0.04820215476849602,0.4161000409172771,2523076,Pacific Ocean,,,Ocean or Sea,,1.2427601666678258,0.04820215476849602,0.4161000409172771,7,coast
53,ECU-AZU,Azuay,EC,Ecuador,Provincial capital,331888,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-8795909.087605784 -322741.5300853525),Cuenca,361524,2022,0,1231167,,,,Inland perennial,EC,0.02539752856558068,3.387663622119589e-05,8.25852449723182,2520309,Pacific Ocean,,,Ocean or Sea,,0.4184545537343859,0.0022668297104160872,87.05045935876468,4,inland
54,ECU-EOR,El Oro,EC,Ecuador,Provincial capital,241606,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-8900438.747622473 -363766.6126654436),Machala,288072,2022,0,1231071,,,,Inland perennial,EC,0.07126440667095624,9.992809026894981e-05,2.296621897735705,2492994,Pacific Ocean,,,Ocean or Sea,,1.151226312337409,0.022255561371889835,3.0166644687113537,4,coast
55,PER-TMB,Tumbes,PE,Peru,Provincial capital,0,0, , ,POINT (-8956097.933661055 -397444.4655823599),Tumbes,175684,2022,0,1340553,,,,Inland perennial,PE,0.042593294692993985,3.1579191236769866e-05,2.1801333450870324,2318242,Pacific Ocean,,,Ocean or Sea,,1.0855314074902946,0.02962751499496665,6.892557849559416,5,coast
56,ECU-LOJ,Loja,EC,Ecuador,Provincial capital,180617,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-8816948.457996953 -444523.8597778623),Loja,203496,2022,0,1230989,,,,Inland perennial,EC,0.014267990163004785,1.3938031265691729e-05,22.23907790902587,2492994,Pacific Ocean,,,Ocean or Sea,,1.151226312337409,0.022255561371889835,119.16744243981833,5,inland
57,ECU-ZCH,Zamora-Chinchipe,EC,Ecuador,Provincial capital,0,0, , ,POINT (-8789452.995172363 -453340.1238143367),Zamora,17584,2022,0,1230988,,,,Inland perennial,EC,0.013923802371062463,1.3745744844483573e-05,18.833668793060525,2492994,Pacific Ocean,,,Ocean or Sea,,1.151226312337409,0.022255561371889835,145.6383736576283,7,inland
58,PER-PIU,Piura,PE,Peru,Provincial capital,473025,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-8975133.572912702 -578986.8654074786),Piura,547100,2022,0,1340094,,,,Inland perennial,PE,0.03863251237140169,5.878404666347926e-05,27.174804530812235,2324352,Pacific Ocean,,,Ocean or Sea,,0.8184878497838707,0.031972363865182464,44.70967836295907,3,inland
59,PER-LMB,Lambayeque,PE,Peru,Provincial capital,552508,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-8887414.375475563 -754607.5895470302),Chiclayo,663200,2022,0,1339825,,,,Inland perennial,PE,0.03123789201380358,4.600742616289188e-05,9.307802798516173,2493105,Pacific Ocean,,,Ocean or Sea,,0.7212501910676659,0.030259976892957223,13.35715578481519,3,coast
60,PER-LLB,La Libertad,PE,Peru,Provincial capital,919899,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-8797579.204354182 -906055.456910576),Trujillo,1025100,2022,0,2493026,Pacific Ocean,,,Ocean or Sea,,0.520307869410151,0.012085273031188353,4.843224418916138,2493026,Pacific Ocean,,,Ocean or Sea,,0.520307869410151,0.012085273031188353,4.843224418916138,2,coast
61,PER-SMR,San Martin,PE,Peru,Provincial capital,0,0, , ,POINT (-8570487.11461373 -670484.269488857),Mayobamba (Moyobamba),57000,2022,0,1339863,,,,Inland perennial,PE,0.0593749217185168,7.268070511205193e-05,61.98236764814486,2688467,Pacific Ocean,,,Ocean or Sea,,0.7671480486666865,0.03465651037004775,323.92751774454257,6,inland
62,PER-AMZ,Amazonas,PE,Peru,Provincial capital,0,0, , ,POINT (-8668226.073041813 -695451.206074824),Chachapoyas,39600,2022,0,1339912,,,,Inland perennial,PE,0.02750194227883355,4.266859613973166e-05,37.735911678688254,2526398,Pacific Ocean,,,Ocean or Sea,,0.5850022649623546,0.017054113609788722,225.64875345935735,7,inland
63,PER-CJM,Cajamarca,PE,Peru,Provincial capital,201329,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-8739804.063052896 -799354.7974523929),Cajamarca,227600,2022,0,1339786,,,,Inland perennial,PE,0.01451190930313217,1.038851901018298e-05,15.253327725044407,2324691,Pacific Ocean,,,Ocean or Sea,,0.14579043729607874,0.0007826883130373974,117.73831805651527,5,inland
64,PER-UCY,Ucayali,PE,Peru,Provincial capital,327568,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-8296307.868109259 -936988.8780170176),Pucallpa,396400,2022,0,2240115,Rio Ucayali,,,Inland perennial,PE,47.25562429913148,0.11716983137546796,0.0,2623001,Pacific Ocean,,,Ocean or Sea,,0.7593886938588613,0.02297310530857217,441.45473419485296,4,inland
65,PER-ANC,Ancash,PE,Peru,Other,354273,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-8733363.997373773 -998143.2603316227),Chimbote,395100,2022,0,2782005,Pacific Ocean,,,Ocean or Sea,,0.942609434422253,0.023664936606817587,21.27687229924787,2782005,Pacific Ocean,,,Ocean or Sea,,0.942609434422253,0.023664936606817587,21.27687229924787,4,inland
66,PER-ANC,Ancash,PE,Peru,Provincial capital,118836,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-8630711.843990361 -1066478.205964543),Huaraz,133200,2022,0,1339481,,,,Inland perennial,PE,0.013969118344509729,1.1788599700987804e-05,19.660357342260575,2623001,Pacific Ocean,,,Ocean or Sea,,0.7593886938588613,0.02297310530857217,82.85631486943093,5,inland
67,PER-HUA,Huanuco,PE,Peru,Provincial capital,196627,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-8485995.944971746 -1110413.41812946),Huanuco,221300,2022,0,1339413,,,,Inland perennial,PE,0.021048623028399303,2.3165316638210236e-05,15.633263162587944,2782008,Pacific Ocean,,,Ocean or Sea,,1.0355095653100337,0.053359629054022424,195.02683125968767,5,inland
68,PER-PAS,Pasco,PE,Peru,Provincial capital,0,0, , ,POINT (-8489558.618765187 -1196629.857816566),Cerro De Pasco,61100,2022,0,1339297,,,,Inland perennial,PE,0.041611241188954956,7.854799055579608e-05,1.3597500415012835,2489702,Pacific Ocean,,,Ocean or Sea,,0.36197144027325723,0.0057360897842161996,149.26151724056962,6,inland
69,ECU-PCH,Pichincha,EC,Ecuador,National and provincial capital,1619146,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-8741282.81667071 -25547.88236192561),Quito,1763275,2022,1,1231765,,,,Inland perennial,EC,0.01787358892171271,1.2244379993223096e-05,11.216499149340224,2309552,Pacific Ocean,,,Ocean or Sea,,1.0396252037082672,0.05112620496605361,163.85567484007456,2,inland
